name	term	lev	seq	value
"DNA polymerase complex"	GO:0042575	3	isogroup281969	2.25019948397141
"DNA polymerase complex"	GO:0042575	3	isogroup328020	0.360507853096225
"DNA polymerase complex"	GO:0042575	3	isogroup179870	0.863163400613547
"DNA polymerase complex"	GO:0042575	3	isogroup301121	1.49058595784162
"DNA polymerase complex"	GO:0042575	3	isogroup74681	0.243949848508097
"DNA polymerase complex"	GO:0042575	3	isogroup295623	1.57811584456387
"DNA polymerase complex"	GO:0042575	3	isogroup290198	1.77166826149967
"DNA polymerase complex"	GO:0042575	3	isogroup271459	0.880756980945028
"Golgi trans cisterna"	GO:0000138	2	isogroup174606	4.27400000805768
"Golgi trans cisterna"	GO:0000138	2	isogroup204459	-1.01578057596212
"Golgi trans cisterna"	GO:0000138	2	isogroup60000	1.65208690016857
"Golgi trans cisterna"	GO:0000138	2	isogroup335139	1.2906263057556
"Golgi trans cisterna"	GO:0000138	2	isogroup230208	-0.915476337874232
"Golgi trans cisterna"	GO:0000138	2	isogroup97511	-1.37489461530725
"Golgi trans cisterna"	GO:0000138	2	isogroup112164	-0.457892525980109
"Golgi trans cisterna"	GO:0000138	2	isogroup341411	1.22346644816451
"mediator complex"	GO:0016592	2	isogroup35798	0.381033352273291
"mediator complex"	GO:0016592	2	isogroup111866	0.021103067193258
"mediator complex"	GO:0016592	2	isogroup182482	2.54199248353258
"mediator complex"	GO:0016592	2	isogroup179995	0.0998128201612108
"mediator complex"	GO:0016592	2	isogroup32835	-0.812640634444419
"mediator complex"	GO:0016592	2	isogroup39576	-0.557555119633852
"mediator complex"	GO:0016592	2	isogroup326311	0.93405439360786
"mediator complex"	GO:0016592	2	isogroup111044	-0.366076613449678
"intrinsic component of Golgi membrane"	GO:0031228	4	isogroup319847	1.32517231340915
"intrinsic component of Golgi membrane"	GO:0031228	4	isogroup271342	-0.15297360886523
"intrinsic component of Golgi membrane"	GO:0031228	4	isogroup162712	-3.66351917733997
"intrinsic component of Golgi membrane"	GO:0031228	4	isogroup100588	0.802597532817085
"intrinsic component of Golgi membrane"	GO:0031228	4	isogroup14456	1.4275927355099
"intrinsic component of Golgi membrane"	GO:0031228	4	isogroup205907	-0.727991117954401
"intrinsic component of Golgi membrane"	GO:0031228	4	isogroup315192	1.0939551169231
"intrinsic component of Golgi membrane"	GO:0031228	4	isogroup238936	-0.116067385736271
